name,segment,gene_id,mean,std,size,count,percentage
ERR4458982,NC_045512.2,SARS-CoV2,106.44072501086848,92.24913099820746,29903,4515.0,0.1509881951643648
ERR4458983,NC_045512.2,SARS-CoV2,564.1833260876836,465.81067751324133,29903,24228.0,0.8102197103969502
ERR4458984,NC_045512.2,SARS-CoV2,107.6913687589874,78.56107415992702,29903,3909.0,0.13072266996622411
ERR4458985,NC_045512.2,SARS-CoV2,217.3329097414975,231.77948488348338,29903,12084.0,0.40410661137678494
ERR4458986,NC_045512.2,SARS-CoV2,522.5436578269739,443.4542196573786,29903,22818.0,0.7630672507775139
ERR4458987,NC_045512.2,SARS-CoV2,128.6688626559208,161.83054897877255,29903,6086.0,0.20352472996020465
ERR4458988,NC_045512.2,SARS-CoV2,108.86626759856871,76.19483802103424,29903,3718.0,0.12433535096813028
ERR4458989,NC_045512.2,SARS-CoV2,513.5511487141758,487.8096815867201,29903,20450.0,0.6838778717854396
ERR4458990,NC_045512.2,SARS-CoV2,185.4240711634284,199.66406300609611,29903,10561.0,0.35317526669564925
ERR4458991,NC_045512.2,SARS-CoV2,194.3912985319199,212.48129815887873,29903,10875.0,0.36367588536267265
ERR4458992,NC_045512.2,SARS-CoV2,100.12507106310403,74.01026847189826,29903,3207.0,0.10724676453867504
ERR4458993,NC_045512.2,SARS-CoV2,129.658696451861,87.52254946185559,29903,5182.0,0.1732936494666087
ERR4458994,NC_045512.2,SARS-CoV2,216.56837106644818,216.13838038890066,29903,12568.0,0.42029227836671906
ERR4458995,NC_045512.2,SARS-CoV2,1000.4921914189212,981.8824008801374,29903,26012.0,0.86987927632679
ERR4458996,NC_045512.2,SARS-CoV2,598.3310704611578,435.0442771974824,29903,25586.0,0.8556332140587901
ERR4458997,NC_045512.2,SARS-CoV2,992.9565595425208,794.674926662874,29903,27912.0,0.9334180517004983
ERR4458998,NC_045512.2,SARS-CoV2,875.2340567836003,525.5169129967655,29903,28784.0,0.9625790054509581
ERR4458999,NC_045512.2,SARS-CoV2,532.3686586630104,565.4928985496123,29903,19972.0,0.6678928535598435
ERR4459000,NC_045512.2,SARS-CoV2,50.89375647928301,64.64333221183277,29903,1410.0,0.04715245961943618
ERR4459001,NC_045512.2,SARS-CoV2,217.7637695214527,227.16369420725064,29903,11889.0,0.3975855265357991
ERR4459002,NC_045512.2,SARS-CoV2,394.7489883958131,357.9015254271956,29903,20190.0,0.6751830919974584
ERR4459003,NC_045512.2,SARS-CoV2,218.79905026251546,192.02848778457,29903,13044.0,0.43621041367086916
ERR4459004,NC_045512.2,SARS-CoV2,612.2650235762299,417.22443324917344,29903,26880.0,0.8989064642343577
ERR4459005,NC_045512.2,SARS-CoV2,107.80547102297429,78.40380662537781,29903,3927.0,0.1313246162592382
ERR4459006,NC_045512.2,SARS-CoV2,552.0227067518309,438.88747230888106,29903,24757.0,0.8279102431194194
ERR4459007,NC_045512.2,SARS-CoV2,114.68170417683845,129.90686384241394,29903,5384.0,0.18004882453265558
ERR4459008,NC_045512.2,SARS-CoV2,1399.1278132628834,993.8233747455072,29903,29288.0,0.9794335016553523
ERR4459009,NC_045512.2,SARS-CoV2,78.71059759890312,87.29535122971126,29903,2896.0,0.09684647025382069
ERR4459010,NC_045512.2,SARS-CoV2,101.49697354780457,71.7719588827767,29903,2748.0,0.09189713406681604
ERR4459011,NC_045512.2,SARS-CoV2,64.10577534026686,97.39501282713115,29903,2191.0,0.0732702404441026
ERR4459012,NC_045512.2,SARS-CoV2,570.5340935692071,466.43462759712804,29903,24036.0,0.8037989499381333
ERR4459013,NC_045512.2,SARS-CoV2,70.61060763134134,80.02745288343905,29903,2421.0,0.08096177641039361
ERR4459014,NC_045512.2,SARS-CoV2,378.2290071230311,355.3177756358447,29903,18923.0,0.632812761261412
ERR4459015,NC_045512.2,SARS-CoV2,55.967461458716514,79.8277867124134,29903,1855.0,0.06203390964117313
ERR4459016,NC_045512.2,SARS-CoV2,502.5987693542454,432.9874944587423,29903,23338.0,0.7804568103534762
ERR4459017,NC_045512.2,SARS-CoV2,238.46600675517507,286.81862828262507,29903,12368.0,0.4136039862221182
ERR4459018,NC_045512.2,SARS-CoV2,101.82232551917868,92.56848556942523,29903,4277.0,0.14302912751228974
ERR4459019,NC_045512.2,SARS-CoV2,395.82587031401533,360.1852922173159,29903,19653.0,0.6572250275892051
ERR4459020,NC_045512.2,SARS-CoV2,235.77049125505803,212.91566466144783,29903,14059.0,0.4701534963047186
ERR4459021,NC_045512.2,SARS-CoV2,106.33117078553991,118.5907960950484,29903,5054.0,0.16901314249406413
ERR4459022,NC_045512.2,SARS-CoV2,390.91405544594187,355.4403075398382,29903,19594.0,0.6552519814065478
ERR4459023,NC_045512.2,SARS-CoV2,237.41380463498646,250.63789219882088,29903,13279.0,0.4440691569407752
